Scope           | Variable        | Typification     
Global          | qqplot          | Free (System)   
setGeneric      | y               | Formal Parameter 
Global          | L               | Local Variable  
Global          | A               | Free (System)   
Global          | stop            | Free ( Exists in logic.brob.error) 
Global          | is.null         | Free ( Exists in gg4) 
Global          | is.integer      | Free (System)   
Global          | aa              | Local Variable  
setMethod       | aa              | Free ( Exists in Global) 
length          | length          | Funtion Call    
setMethod       | new             | Free ( Exists in Global) 
setMethod       | is.na           | Free (System)   
Global          | length          | Funtion Call    
Global          | rev             | Free (System)   
Global          | mapply          | Free (System)   
setMethod       | strictly        | Formal Parameter 
setMethod       | is.unsorted     | Free (System)   
Global          | na.rm           | Local Variable  
Global          | strictly        | Local Variable  
Global          | is.unsorted     | Free ( Exists in setMethod) 
Global          | text            | Local Variable  
Global          | source          | Free (System)   
Global          | textConnection  | Free (System)   
Global          | keep.source     | Local Variable  
Global          | getSrcref       | Free (System)   
setMethod       | as.character    | Free ( Exists in Global) 
Global          | identity        | Free (System)   
setMethod       | callGeneric     | Free ( Exists in x) 
Global          | fun             | Free (System)   
Global          | do.call         | Free ( Exists in tstSlotname) 
setMethod       | c               | Funtion Call    
Global          | setOldClass     | Free (System)   
Global          | c               | Funtion Call    
Global          | n               | Local Variable  
Global          | attributes      | Free (System)   
Global          | message         | Free (System)   
setMethod       | dim             | Free ( Exists in Global) 
.Object         | .Object         | Formal Parameter 
.Object         | y               | Formal Parameter 
.Object         | a               | Free ( Exists in Global) 
y               | cat             | Free ( Exists in setMethod) 
y               | a               | Free ( Exists in Global) 
y               | rbind           | Free ( Exists in Global) 
Global          | mat1            | Local Variable  
Global          | nrow            | Local Variable  
Global          | obj1            | Local Variable  
Global          | om1             | Local Variable  
Global          | rbind2          | Free (System)   
Global          | rm              | Free (System)   
Global          | dates           | Local Variable  
Global          | outer           | Free (System)   
Global          | setNames        | Free (System)   
Global          | LETTERS         | Free ( Exists in tstSlotname) 
Global          | im              | Local Variable  
Global          | Sys.Date        | Free (System)   
Global          | ii              | Local Variable  
Global          | i.i             | Local Variable  
Global          | slots           | Local Variable  
Global          | timeunits       | Local Variable  
Global          | three           | Local Variable  
Global          | m1              | Local Variable  
Global          | colnames        | Free (System)   
Global          | deparse.level   | Local Variable  
Global          | M2              | Local Variable  
Global          | t               | Free (System)   
Global          | m12             | Free (System)   
Global          | T               | Local Variable  
Global          | invisible       | Free (System)   
Global          | getClasses      | Free (System)   
Global          | globalenv       | Free (System)   
Global          | nn              | Local Variable  
Global          | slot1           | Local Variable  
Global          | slot2           | Local Variable  
Global          | design          | Local Variable  
Global          | D.              | Local Variable  
Global          | C1              | Local Variable  
Global          | y               | Funtion Call    
Global          | C2              | Local Variable  
Global          | formula         | Free (System)   
Global          | N               | Local Variable  
Global          | inherits        | Free (System)   
Global          | is.table        | Free (System)   
Global          | is.ordered      | Free (System)   
Global          | obj             | Local Variable  
Global          | cl4             | Local Variable  
Global          | which           | Free (System)   
Global          | search          | Free (System)   
Global          | force           | Local Variable  
f               | withCallingHandlers | Free (System)   
f               | g               | Free ( Exists in gg4) 
f               | sqrt            | Free (System)   
warning         | w               | Formal Parameter 
warning         | signal          | Local Variable  
warning         | invokeRestart   | Free (System)   
Global          | op              | Local Variable  
Global          | options         | Free (System)   
Global          | warn            | Local Variable  
Global          | f               | Funtion Call    
Global          | setGeneric      | Funtion Call    
Global          | formals         | Free (System)   
Global          | base            | Free (System)   
Global          | as.vector       | Free (System)   
-----------------------------------------------------
